executive_rank,action_id,encounter_id,facility_id,unit_id,service_line,priority,primary_blocker,evidence_summary,recommended_owner,recommended_action,target_resolution_hours,estimated_recoverable_bed_hours,status,reviewed_by,reviewed_timestamp,action_taken,reason_not_actioned,discharge_timestamp,shift_date,shift_name,signal_family
1,f97a31dc380a64a7,ENC_00000013,FAC_000,acute_medicine,medicine,high,transport delay,Transport completion lag observed after discharge order,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,24,6.7,new,,,,,2026-01-08 12:41:23.315594758,2026-01-08,day,transport_discharge_logistics
2,1bcf02e54560e187,ENC_00000036,FAC_000,surgical,surgery,routine,unattributed operational delay,Delay signal found but no single dependency explains the episode,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,48,1.1,new,,,,,2026-01-08 10:43:09.235392836,2026-01-08,day,unattributed
3,c0520b5c53f28130,ENC_00000071,FAC_000,acute_medicine,medicine,high,vulnerable patient porter wait,Porter support for vulnerable patient exceeded expected operating window,patient_transport_coordinator,Review porter support timing for vulnerable or mobility-limited discharge-dependent patients.,24,13.38,new,,,,,2026-01-08 16:20:40.829977412,2026-01-08,evening,vulnerable_patient_flow
4,c97b5eba73183b33,ENC_00000074,FAC_000,respiratory,respiratory,high,radiology CT turnaround delay,CT completion lag exceeded expected discharge-dependent window,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",24,6.52,new,,,,,2026-01-08 19:22:19.389261284,2026-01-08,evening,diagnostics_access
5,183b7617ceee3b93,ENC_00000002,FAC_000,respiratory,respiratory,high,home care confirmation wait,Home-care confirmation exceeded expected operating window,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,24,4.98,new,,,,,2026-01-08 21:11:05.605996284,2026-01-08,evening,alc_community_capacity
6,d806b27d72c71ec0,ENC_00000004,FAC_000,respiratory,respiratory,routine,blood testing turnaround delay,Blood testing result availability exceeded expected operating window,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",48,0.49,new,,,,,2026-01-08 05:01:57.906841910,2026-01-08,night,diagnostics_access
7,e4f61bceaf391238,ENC_00000139,FAC_000,cardiac,cardiology,routine,nurse discharge screening wait,Nurse discharge screening lag exceeded expected operating window,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,48,0.31,new,,,,,2026-01-08 03:22:47.763788798,2026-01-08,night,nursing_discharge_readiness
8,26f340b9d60e8ede,ENC_00000007,FAC_000,orthopedics,orthopedics,routine,transport delay,Transport completion lag observed after discharge order,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,48,7.14,new,,,,,2026-01-09 14:52:12.926801779,2026-01-09,day,transport_discharge_logistics
9,df7cf1c33a4d50ef,ENC_00000196,FAC_000,acute_medicine,medicine,high,unattributed operational delay,Delay signal found but no single dependency explains the episode,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,24,2.99,new,,,,,2026-01-09 13:03:55.844782699,2026-01-09,day,unattributed
10,2f483118e2494042,ENC_00000009,FAC_000,transitional_care,geriatrics,routine,unattributed operational delay,Delay signal found but no single dependency explains the episode,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,48,2.12,new,,,,,2026-01-09 09:44:20.418752208,2026-01-09,day,unattributed
11,a1bbfafd00a8302f,ENC_00000116,FAC_000,respiratory,respiratory,high,transport delay,Transport completion lag observed after discharge order,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,24,1.81,new,,,,,2026-01-09 09:35:44.730645544,2026-01-09,day,transport_discharge_logistics
12,c39ff585b808ecc3,ENC_00000253,FAC_000,surgical,surgery,high,nurse discharge screening wait,Nurse discharge screening lag exceeded expected operating window,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,24,11.7,new,,,,,2026-01-09 20:44:56.435022424,2026-01-09,evening,nursing_discharge_readiness
13,579081b2d39a98f7,ENC_00000062,FAC_000,acute_medicine,medicine,high,ALC placement wait,ALC status present with delayed discharge dependency,transition_services_lead,Review and address alc placement wait for this discharge dependency.,24,2.94,new,,,,,2026-01-09 03:16:52.462637017,2026-01-09,night,alc_community_capacity
14,deec521bcf27a13e,ENC_00000169,FAC_000,acute_medicine,medicine,urgent,ALC placement wait,ALC status present with delayed discharge dependency,transition_services_lead,Review and address alc placement wait for this discharge dependency.,12,43.47,new,,,,,2026-01-10 13:40:49.221727539,2026-01-10,day,alc_community_capacity
15,e34440890e090db2,ENC_00000254,FAC_000,surgical,surgery,high,home care confirmation wait,Home-care confirmation exceeded expected operating window,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,24,7.3,new,,,,,2026-01-10 16:01:54.437791334,2026-01-10,evening,alc_community_capacity
16,9abd73cda0bf7ec6,ENC_00000246,FAC_000,acute_medicine,medicine,routine,home care confirmation wait,Home-care confirmation exceeded expected operating window,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,48,2.01,new,,,,,2026-01-10 20:58:29.101999826,2026-01-10,evening,alc_community_capacity
17,12ef961562706389,ENC_00000082,FAC_000,transitional_care,geriatrics,urgent,ALC placement wait,ALC status present with delayed discharge dependency,transition_services_lead,Review and address alc placement wait for this discharge dependency.,12,52.16,new,,,,,2026-01-11 13:15:11.255512245,2026-01-11,day,alc_community_capacity
18,cd1abdec24a52bf9,ENC_00000241,FAC_000,orthopedics,orthopedics,routine,blood testing turnaround delay,Blood testing result availability exceeded expected operating window,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",48,6.14,new,,,,,2026-01-11 07:20:05.232141892,2026-01-11,day,diagnostics_access
19,2fbb240c16e9abd5,ENC_00000333,FAC_000,surgical,surgery,routine,unattributed operational delay,Delay signal found but no single dependency explains the episode,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,48,3.93,new,,,,,2026-01-11 08:24:10.584268351,2026-01-11,day,unattributed
