shift_date,shift_name,signal_family,primary_blocker,flagged_cases,affected_facilities,affected_units,affected_service_lines,recoverable_bed_hours,median_priority_score,mean_confidence,management_score,recommended_owner,recommended_management_action,signal_group_rank
2026-01-08,day,transport_discharge_logistics,transport delay,2,FAC_000,"acute_medicine, respiratory","medicine, respiratory",6.7,24.07,0.78,45.5,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-08,day,unattributed,unattributed operational delay,1,FAC_000,surgical,surgery,1.1,2.03,0.45,20.05,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-08,evening,vulnerable_patient_flow,vulnerable patient porter wait,1,FAC_000,acute_medicine,medicine,13.38,39.16,0.81,43.3,patient_transport_coordinator,Review porter support timing for vulnerable or mobility-limited discharge-dependent patients.,1
2026-01-08,evening,diagnostics_access,radiology CT turnaround delay,1,FAC_000,respiratory,respiratory,6.52,27.95,0.82,37.39,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
2026-01-08,evening,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,4.98,27.15,0.86,37.34,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,3
2026-01-08,night,nursing_discharge_readiness,nurse discharge screening wait,1,FAC_000,cardiac,cardiology,0.31,0.57,0.8,26.3,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,1
2026-01-08,night,diagnostics_access,blood testing turnaround delay,1,FAC_000,respiratory,respiratory,0.49,0.9,0.79,26.27,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",2
2026-01-09,day,transport_discharge_logistics,transport delay,2,FAC_000,"orthopedics, respiratory","orthopedics, respiratory",8.95,21.244999999999997,0.78,45.55,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-09,day,unattributed,unattributed operational delay,2,FAC_000,"acute_medicine, transitional_care","geriatrics, medicine",5.11,16.12,0.45,35.88,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-09,evening,nursing_discharge_readiness,nurse discharge screening wait,1,FAC_000,surgical,surgery,11.7,32.82,0.8,40.53,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,1
2026-01-09,night,alc_community_capacity,ALC placement wait,1,FAC_000,acute_medicine,medicine,2.94,31.63,0.94,39.46,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-10,day,alc_community_capacity,ALC placement wait,1,FAC_000,acute_medicine,medicine,43.47,74.82,0.94,68.63,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-10,evening,alc_community_capacity,home care confirmation wait,2,FAC_000,"acute_medicine, surgical","medicine, surgery",9.309999999999999,26.405,0.86,48.85,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-11,day,alc_community_capacity,ALC placement wait,1,FAC_000,transitional_care,geriatrics,52.16,84.38,0.94,74.98,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-11,day,unattributed,unattributed operational delay,2,FAC_000,"surgical, transitional_care","geriatrics, surgery",6.03,5.6,0.45,33.09,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-11,day,diagnostics_access,blood testing turnaround delay,1,FAC_000,orthopedics,orthopedics,6.14,11.4,0.79,31.68,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",3
2026-01-11,evening,nursing_discharge_readiness,nurse discharge screening wait,1,FAC_000,transitional_care,geriatrics,41.2,70.94,0.8,63.76,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,1
2026-01-11,evening,vulnerable_patient_flow,vulnerable patient porter wait,1,FAC_000,surgical,surgery,2.16,4.02,0.81,28.27,patient_transport_coordinator,Review porter support timing for vulnerable or mobility-limited discharge-dependent patients.,2
2026-01-11,night,alc_community_capacity,home care confirmation wait,1,FAC_000,orthopedics,orthopedics,5.47,46.02,0.86,43.19,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-12,day,alc_community_capacity,ALC placement wait,1,FAC_000,acute_medicine,medicine,65.28,98.17,0.94,84.36,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-12,day,unattributed,unattributed operational delay,2,FAC_000,"cardiac, orthopedics","cardiology, orthopedics",9.629999999999999,16.985,0.45,37.95,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-12,day,care_team_assessment,therapy assessment stall,1,FAC_000,orthopedics,orthopedics,1.43,2.66,0.82,27.77,therapy_services_manager,Review and address therapy assessment stall for this discharge dependency.,3
2026-01-12,evening,pharmacy_discharge_readiness,pharmacy discharge delay,1,FAC_000,surgical,surgery,2.18,4.06,0.74,26.89,pharmacy_operations_lead,Review and address pharmacy discharge delay for this discharge dependency.,1
2026-01-12,evening,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,0.15,0.28,0.45,19.14,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
