shift_date,shift_name,signal_family,primary_blocker,flagged_cases,affected_facilities,affected_units,affected_service_lines,recoverable_bed_hours,median_priority_score,mean_confidence,management_score,recommended_owner,recommended_management_action,signal_group_rank
2026-01-08,evening,transport_discharge_logistics,transport delay,2,FAC_000,"acute_medicine, surgical","medicine, surgery",16.05,38.870000000000005,0.78,53.68,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,1
2026-01-09,day,diagnostics_access,radiology CT turnaround delay,1,FAC_000,surgical,surgery,11.68,45.08,0.82,44.6,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",1
2026-01-09,day,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,0.46,19.29,0.86,33.17,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-09,evening,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,30.38,59.49,0.86,57.2,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-09,evening,diagnostics_access,diagnostic sign-off stall,1,FAC_000,acute_medicine,medicine,13.35,47.6,0.72,44.02,diagnostics_operations_lead,Review and address diagnostic sign-off stall for this discharge dependency.,2
2026-01-09,evening,diagnostics_access,radiology ultrasound turnaround delay,1,FAC_000,respiratory,respiratory,7.35,28.47,0.8,37.48,radiology_operations_lead,Review ultrasound slot availability and report finalization for discharge-dependent case.,3
2026-01-10,day,diagnostics_access,radiology MRI access delay,2,FAC_000,"cardiac, orthopedics","cardiology, orthopedics",36.62,48.085,0.84,65.87,radiology_operations_lead,Review MRI access constraints and consider alternate imaging or escalation for discharge-dependent case.,1
2026-01-10,day,unattributed,unattributed operational delay,1,FAC_000,acute_medicine,medicine,28.03,69.36,0.45,51.02,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-10,evening,unattributed,unattributed operational delay,1,FAC_000,surgical,surgery,54.27,96.15,0.45,69.55,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-10,evening,diagnostics_access,radiology CT turnaround delay,3,FAC_000,"acute_medicine, respiratory","medicine, respiratory",19.78,46.99,0.82,68.41,radiology_operations_lead,"Review CT queue priority, protocol readiness, and report finalization for discharge-dependent case.",2
