signal_rank,primary_blocker,facility_id,unit_id,service_line,flagged_cases,recoverable_bed_hours,median_priority_score,mean_confidence,signal_family,actionability_score
1,Friday/weekend discharge gap,FAC_000,acute_medicine,medicine,33,793.74,48.94,0.88,weekend_flow_gap,503.88
2,home care confirmation wait,FAC_000,acute_medicine,medicine,46,453.05,21.025,0.8600000000000001,alc_community_capacity,455.3
3,unattributed operational delay,FAC_000,transitional_care,geriatrics,40,217.68,8.705,0.45,unattributed,326.46
4,Friday/weekend discharge gap,FAC_000,transitional_care,geriatrics,24,417.19,40.230000000000004,0.88,weekend_flow_gap,315.91
5,unattributed operational delay,FAC_000,acute_medicine,medicine,38,204.98,9.715,0.45,unattributed,310.27
6,unattributed operational delay,FAC_000,respiratory,respiratory,38,138.52,5.57,0.45,unattributed,285.97
7,Friday/weekend discharge gap,FAC_000,surgical,surgery,21,346.03,40.13,0.88,weekend_flow_gap,272.98
8,unattributed operational delay,FAC_000,surgical,surgery,37,94.09,4.37,0.45000000000000007,unattributed,264.12
9,Friday/weekend discharge gap,FAC_000,respiratory,respiratory,17,374.47,50.66,0.88,weekend_flow_gap,261.57
10,ALC placement wait,FAC_000,acute_medicine,medicine,15,326.90999999999997,46.49,0.94,alc_community_capacity,232.96
11,home care confirmation wait,FAC_000,respiratory,respiratory,29,102.42999999999999,19.21,0.8600000000000001,alc_community_capacity,230.13
12,transport delay,FAC_000,acute_medicine,medicine,25,163.33,19.88,0.78,transport_discharge_logistics,226.18
13,ALC placement wait,FAC_000,transitional_care,geriatrics,12,319.01,50.974999999999994,0.94,alc_community_capacity,213.32
14,home care confirmation wait,FAC_000,orthopedics,orthopedics,23,149.77,19.24,0.8600000000000001,alc_community_capacity,210.71
15,Friday/weekend discharge gap,FAC_000,cardiac,cardiology,11,298.46,64.93,0.88,weekend_flow_gap,202.53
16,unattributed operational delay,FAC_000,orthopedics,orthopedics,23,110.51,4.34,0.45,unattributed,185.86
17,unattributed operational delay,FAC_000,cardiac,cardiology,22,93.61,6.955,0.45,unattributed,174.6
18,home care confirmation wait,FAC_000,surgical,surgery,17,110.51,15.53,0.86,alc_community_capacity,160.04
19,Friday/weekend discharge gap,FAC_000,orthopedics,orthopedics,13,167.73,28.02,0.88,weekend_flow_gap,159.55
20,ALC placement wait,FAC_000,respiratory,respiratory,6,249.15,58.644999999999996,0.94,alc_community_capacity,154.78
