shift_date,shift_name,signal_family,primary_blocker,flagged_cases,affected_facilities,affected_units,affected_service_lines,recoverable_bed_hours,median_priority_score,mean_confidence,management_score,recommended_owner,recommended_management_action,signal_group_rank
2026-01-07,night,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,surgical,surgery,9.28,45.15,0.88,44.86,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-08,day,unattributed,unattributed operational delay,1,FAC_000,surgical,surgery,0.29,0.55,0.45,19.28,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-08,evening,vulnerable_patient_flow,vulnerable patient porter wait,1,FAC_000,acute_medicine,medicine,13.38,37.81,0.81,42.9,patient_transport_coordinator,Review porter support timing for vulnerable or mobility-limited discharge-dependent patients.,1
2026-01-08,evening,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,4.98,27.03,0.86,37.3,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-08,evening,transport_discharge_logistics,transport delay,1,FAC_000,respiratory,respiratory,6.52,27.45,0.78,36.44,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-08,night,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,0.22,0.4,0.45,19.21,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-09,day,unattributed,unattributed operational delay,2,FAC_000,"acute_medicine, orthopedics","medicine, orthopedics",9.66,19.67,0.45,38.76,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-09,day,transport_discharge_logistics,transport delay,1,FAC_000,respiratory,respiratory,1.81,28.72,0.78,34.94,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-09,night,alc_community_capacity,ALC placement wait,1,FAC_000,acute_medicine,medicine,1.5,20.59,0.94,35.58,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-10,evening,alc_community_capacity,home care confirmation wait,3,FAC_000,"acute_medicine, surgical, transitional_care","geriatrics, medicine, surgery",7.3,20.68,0.86,56.32,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,1
2026-01-10,night,unattributed,unattributed operational delay,1,FAC_000,orthopedics,orthopedics,4.31,8.01,0.45,23.13,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-11,day,alc_community_capacity,ALC placement wait,1,FAC_000,transitional_care,geriatrics,52.16,80.98,0.94,73.96,transition_services_lead,Review and address alc placement wait for this discharge dependency.,1
2026-01-11,day,transport_discharge_logistics,transport delay,2,FAC_000,"cardiac, transitional_care","cardiology, geriatrics",2.55,2.375,0.78,37.33,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-11,day,nursing_discharge_readiness,nurse discharge screening wait,1,FAC_000,orthopedics,orthopedics,2.96,5.51,0.8,28.84,nursing_flow_lead,Review nurse discharge screening queue and readiness checklist handoff.,3
2026-01-11,evening,unattributed,unattributed operational delay,1,FAC_000,transitional_care,geriatrics,26.35,61.29,0.45,47.93,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-12,day,unattributed,unattributed operational delay,1,FAC_000,orthopedics,orthopedics,0.9,1.68,0.45,19.86,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-12,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,acute_medicine,medicine,5.76,37.5,0.88,41.15,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-12,night,front_door_screening,triage screening backlog,1,FAC_000,surgical,surgery,1.05,1.96,0.76,26.21,triage_operations_lead,"Review triage screening queue, screening criteria, and escalation coverage for delayed cases.",1
2026-01-12,night,unattributed,unattributed operational delay,1,FAC_000,acute_medicine,medicine,0.33,0.6,0.45,19.31,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-13,day,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,surgical,surgery,9.0,16.72,0.88,36.22,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-13,day,unattributed,unattributed operational delay,2,FAC_000,"orthopedics, respiratory","orthopedics, respiratory",1.31,11.66,0.45,33.02,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,2
2026-01-13,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,respiratory,respiratory,39.5,65.7,0.88,63.11,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-13,night,unattributed,unattributed operational delay,1,FAC_000,orthopedics,orthopedics,2.91,5.4,0.45,21.78,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,1
2026-01-14,day,weekend_flow_gap,Friday/weekend discharge gap,6,FAC_000,"respiratory, surgical, transitional_care","geriatrics, respiratory, surgery",250.25,76.505,0.88,200.65,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-14,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,acute_medicine,medicine,56.17,90.99,0.88,77.37,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-14,evening,transport_discharge_logistics,transport delay,1,FAC_000,surgical,surgery,18.9,50.35,0.78,48.26,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,2
2026-01-14,night,weekend_flow_gap,Friday/weekend discharge gap,3,FAC_000,"cardiac, surgical, transitional_care","cardiology, geriatrics, surgery",65.34,55.72,0.88,90.45,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-14,night,alc_community_capacity,home care confirmation wait,2,FAC_000,"cardiac, orthopedics","cardiology, orthopedics",20.64,24.175,0.86,52.71,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-14,night,unattributed,unattributed operational delay,1,FAC_000,respiratory,respiratory,4.08,7.57,0.45,22.9,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,3
2026-01-15,day,weekend_flow_gap,Friday/weekend discharge gap,3,FAC_000,"acute_medicine, cardiac, surgical","cardiology, medicine, surgery",205.14,104.78,0.88,161.09,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-15,day,alc_community_capacity,home care confirmation wait,1,FAC_000,respiratory,respiratory,5.28,25.41,0.86,36.94,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-15,day,transport_discharge_logistics,transport delay,1,FAC_000,cardiac,cardiology,4.16,27.54,0.78,35.53,patient_transport_coordinator,Review and address transport delay for this discharge dependency.,3
2026-01-15,evening,weekend_flow_gap,Friday/weekend discharge gap,3,FAC_000,"acute_medicine, orthopedics, transitional_care","geriatrics, medicine, orthopedics",215.77,121.47,0.88,170.35,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-15,night,weekend_flow_gap,Friday/weekend discharge gap,5,FAC_000,"acute_medicine, cardiac, orthopedics, surgical","cardiology, medicine, orthopedics, surgery",277.72,103.37,0.8800000000000001,209.7,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-15,night,alc_community_capacity,home care confirmation wait,1,FAC_000,orthopedics,orthopedics,3.72,6.91,0.86,30.76,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-15,night,diagnostics_access,blood testing turnaround delay,1,FAC_000,transitional_care,geriatrics,1.36,2.54,0.79,27.11,laboratory_operations_lead,"Review collection, processing, and result-release timing for discharge-dependent bloodwork.",3
2026-01-16,evening,weekend_flow_gap,Friday/weekend discharge gap,3,FAC_000,"acute_medicine, cardiac, transitional_care","cardiology, geriatrics, medicine",252.24,119.0,0.88,184.2,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-17,day,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,surgical,surgery,108.07,164.13,0.88,120.07,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-17,evening,weekend_flow_gap,Friday/weekend discharge gap,1,FAC_000,surgical,surgery,98.39,143.61,0.88,110.04,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
2026-01-17,evening,care_team_assessment,therapy assessment stall,1,FAC_000,orthopedics,orthopedics,1.53,24.3,0.82,34.3,therapy_services_manager,Review and address therapy assessment stall for this discharge dependency.,2
2026-01-17,evening,unattributed,unattributed operational delay,1,FAC_000,surgical,surgery,0.86,1.61,0.45,19.83,patient_flow_coordinator,Review and address unattributed operational delay for this discharge dependency.,3
2026-01-17,night,care_team_assessment,therapy assessment stall,1,FAC_000,orthopedics,orthopedics,13.01,44.87,0.82,45.06,therapy_services_manager,Review and address therapy assessment stall for this discharge dependency.,1
2026-01-17,night,alc_community_capacity,home care confirmation wait,1,FAC_000,cardiac,cardiology,10.46,33.05,0.86,41.3,home_care_liaison,Review and address home care confirmation wait for this discharge dependency.,2
2026-01-18,day,weekend_flow_gap,Friday/weekend discharge gap,2,FAC_000,respiratory,respiratory,229.40999999999997,163.675,0.88,178.47,site_operations_director,Review and address friday/weekend discharge gap for this discharge dependency.,1
